[22:51:34] Opening PDF...
[22:51:34] Total pages: 1070
[22:51:34] Resuming from page 21
[22:51:34] Page 21/1070 — OCR...
[22:51:35]   Extracted 1 chart(s): chart_p0021_01.png
[22:51:35] Page 22/1070 — OCR...
[22:51:35]   Extracted 1 chart(s): chart_p0022_01.png
[22:51:35] Page 23/1070 — OCR...
[22:51:35]   Extracted 1 chart(s): chart_p0023_01.png
[22:51:35] Page 24/1070 — OCR...
[22:51:36]   Extracted 1 chart(s): chart_p0024_01.png
[22:51:36] Page 25/1070 — OCR...
[22:51:37]   Extracted 1 chart(s): chart_p0025_01.png
[22:51:37] Page 26/1070 — OCR...
[22:51:38]   Extracted 1 chart(s): chart_p0026_01.png
[22:51:38] Page 27/1070 — OCR...
[22:51:40]   Extracted 1 chart(s): chart_p0027_01.png
[22:51:40] Page 28/1070 — OCR...
[22:51:41]   Extracted 1 chart(s): chart_p0028_01.png
[22:51:41] Page 29/1070 — OCR...
[22:51:42]   Extracted 1 chart(s): chart_p0029_01.png
[22:51:42] Page 30/1070 — OCR...
[22:51:43]   Extracted 1 chart(s): chart_p0030_01.png
[22:51:43] Page 31/1070 — OCR...
[22:51:43]   Extracted 1 chart(s): chart_p0031_01.png
[22:51:43] Page 32/1070 — OCR...
[22:51:44]   Extracted 1 chart(s): chart_p0032_01.png
[22:51:44] Page 33/1070 — OCR...
[22:51:45]   Extracted 1 chart(s): chart_p0033_01.png
[22:51:45] Page 34/1070 — OCR...
[22:51:46]   Extracted 1 chart(s): chart_p0034_01.png
[22:51:46] Page 35/1070 — OCR...
[22:51:47]   Extracted 1 chart(s): chart_p0035_01.png
[22:51:47] Page 36/1070 — OCR...
[22:51:48]   Extracted 1 chart(s): chart_p0036_01.png
[22:51:48] Page 37/1070 — OCR...
[22:51:49]   Extracted 1 chart(s): chart_p0037_01.png
[22:51:49] Page 38/1070 — OCR...
[22:51:51]   Extracted 1 chart(s): chart_p0038_01.png
[22:51:51] Page 39/1070 — OCR...
[22:51:52]   Extracted 1 chart(s): chart_p0039_01.png
[22:51:52] Page 40/1070 — OCR...
[22:51:53]   Extracted 1 chart(s): chart_p0040_01.png
[22:51:53] Writing batch pages 21-40 to notes.md...
[22:51:53]   Saved. Charts so far: 20
[22:51:53] Page 41/1070 — OCR...
[22:51:54]   Extracted 1 chart(s): chart_p0041_01.png
[22:51:54] Page 42/1070 — OCR...
[22:51:56]   Extracted 1 chart(s): chart_p0042_01.png
[22:51:56] Page 43/1070 — OCR...
[22:51:57]   Extracted 1 chart(s): chart_p0043_01.png
[22:51:57] Page 44/1070 — OCR...
[22:51:58]   Extracted 1 chart(s): chart_p0044_01.png
[22:51:58] Page 45/1070 — OCR...
[22:51:59]   Extracted 1 chart(s): chart_p0045_01.png
[22:51:59] Page 46/1070 — OCR...
[22:52:01]   Extracted 1 chart(s): chart_p0046_01.png
[22:52:01] Page 47/1070 — OCR...
[22:52:02]   Extracted 1 chart(s): chart_p0047_01.png
[22:52:02] Page 48/1070 — OCR...
[22:52:03]   Extracted 1 chart(s): chart_p0048_01.png
[22:52:03] Page 49/1070 — OCR...
[22:52:04]   Extracted 1 chart(s): chart_p0049_01.png
[22:52:04] Page 50/1070 — OCR...
[22:52:05]   Extracted 1 chart(s): chart_p0050_01.png
[22:52:05] Page 51/1070 — OCR...
[22:52:07]   Extracted 1 chart(s): chart_p0051_01.png
[22:52:07] Page 52/1070 — OCR...
[22:52:08]   Extracted 1 chart(s): chart_p0052_01.png
[22:52:08] Page 53/1070 — OCR...
[22:52:10]   Extracted 1 chart(s): chart_p0053_01.png
[22:52:10] Page 54/1070 — OCR...
[22:52:11]   Extracted 1 chart(s): chart_p0054_01.png
[22:52:11] Page 55/1070 — OCR...
[22:52:12]   Extracted 1 chart(s): chart_p0055_01.png
[22:52:12] Page 56/1070 — OCR...
[22:52:14]   Extracted 1 chart(s): chart_p0056_01.png
[22:52:14] Page 57/1070 — OCR...
[22:52:15]   Extracted 1 chart(s): chart_p0057_01.png
[22:52:15] Page 58/1070 — OCR...
[22:52:15]   Extracted 1 chart(s): chart_p0058_01.png
[22:52:15] Page 59/1070 — OCR...
Warning in pixScaleSmooth: ridiculously small scaling factor 0.012945
Image too small to scale!! (1x1 vs min width of 3)
Line cannot be recognized!!
[22:52:15]   Extracted 1 chart(s): chart_p0059_01.png
[22:52:15] Page 60/1070 — OCR...
[22:52:15]   Extracted 1 chart(s): chart_p0060_01.png
[22:52:15] Writing batch pages 41-60 to notes.md...
[22:52:15]   Saved. Charts so far: 40
[22:52:15] Page 61/1070 — OCR...
[22:52:16]   Extracted 1 chart(s): chart_p0061_01.png
[22:52:16] Page 62/1070 — OCR...
[22:52:17]   Extracted 1 chart(s): chart_p0062_01.png
[22:52:17] Page 63/1070 — OCR...
[22:52:18]   Extracted 1 chart(s): chart_p0063_01.png
[22:52:18] Page 64/1070 — OCR...
[22:52:19]   Extracted 1 chart(s): chart_p0064_01.png
[22:52:19] Page 65/1070 — OCR...
[22:52:20]   Extracted 1 chart(s): chart_p0065_01.png
[22:52:20] Page 66/1070 — OCR...
[22:52:21]   Extracted 1 chart(s): chart_p0066_01.png
[22:52:21] Page 67/1070 — OCR...
[22:52:23]   Extracted 1 chart(s): chart_p0067_01.png
[22:52:23] Page 68/1070 — OCR...
[22:52:24]   Extracted 1 chart(s): chart_p0068_01.png
[22:52:24] Page 69/1070 — OCR...
[22:52:25]   Extracted 1 chart(s): chart_p0069_01.png
[22:52:25] Page 70/1070 — OCR...
[22:52:27]   Extracted 1 chart(s): chart_p0070_01.png
[22:52:27] Page 71/1070 — OCR...
[22:52:28]   Extracted 1 chart(s): chart_p0071_01.png
[22:52:28] Page 72/1070 — OCR...
[22:52:29]   Extracted 1 chart(s): chart_p0072_01.png
[22:52:29] Page 73/1070 — OCR...
[22:52:30]   Extracted 1 chart(s): chart_p0073_01.png
[22:52:30] Page 74/1070 — OCR...
[22:52:31]   Extracted 1 chart(s): chart_p0074_01.png
[22:52:31] Page 75/1070 — OCR...
[22:52:32]   Extracted 1 chart(s): chart_p0075_01.png
[22:52:32] Page 76/1070 — OCR...
[22:52:34]   Extracted 1 chart(s): chart_p0076_01.png
[22:52:34] Page 77/1070 — OCR...
[22:52:35]   Extracted 1 chart(s): chart_p0077_01.png
[22:52:35] Page 78/1070 — OCR...
[22:52:36]   Extracted 1 chart(s): chart_p0078_01.png
[22:52:36] Page 79/1070 — OCR...
[22:52:37]   Extracted 1 chart(s): chart_p0079_01.png
[22:52:37] Page 80/1070 — OCR...
[22:52:39]   Extracted 1 chart(s): chart_p0080_01.png
[22:52:39] Writing batch pages 61-80 to notes.md...
[22:52:39]   Saved. Charts so far: 60
[22:52:39] Page 81/1070 — OCR...
[22:52:40]   Extracted 1 chart(s): chart_p0081_01.png
[22:52:40] Page 82/1070 — OCR...
[22:52:41]   Extracted 1 chart(s): chart_p0082_01.png
[22:52:41] Page 83/1070 — OCR...
[22:52:43]   Extracted 1 chart(s): chart_p0083_01.png
[22:52:43] Page 84/1070 — OCR...
[22:52:44]   Extracted 1 chart(s): chart_p0084_01.png
[22:52:44] Page 85/1070 — OCR...
[22:52:46]   Extracted 1 chart(s): chart_p0085_01.png
[22:52:46] Page 86/1070 — OCR...
[22:52:47]   Extracted 1 chart(s): chart_p0086_01.png
[22:52:47] Page 87/1070 — OCR...
[22:52:48]   Extracted 1 chart(s): chart_p0087_01.png
[22:52:48] Page 88/1070 — OCR...
[22:52:49]   Extracted 1 chart(s): chart_p0088_01.png
[22:52:49] Page 89/1070 — OCR...
[22:52:50]   Extracted 1 chart(s): chart_p0089_01.png
[22:52:50] Page 90/1070 — OCR...
[22:52:52]   Extracted 1 chart(s): chart_p0090_01.png
[22:52:52] Page 91/1070 — OCR...
[22:52:53]   Extracted 1 chart(s): chart_p0091_01.png
[22:52:53] Page 92/1070 — OCR...
[22:52:54]   Extracted 1 chart(s): chart_p0092_01.png
[22:52:54] Page 93/1070 — OCR...
[22:52:55]   Extracted 1 chart(s): chart_p0093_01.png
[22:52:55] Page 94/1070 — OCR...
[22:52:56]   Extracted 1 chart(s): chart_p0094_01.png
[22:52:56] Page 95/1070 — OCR...
[22:52:57]   Extracted 1 chart(s): chart_p0095_01.png
[22:52:57] Page 96/1070 — OCR...
[22:52:58]   Extracted 1 chart(s): chart_p0096_01.png
[22:52:58] Page 97/1070 — OCR...
[22:53:00]   Extracted 1 chart(s): chart_p0097_01.png
[22:53:00] Page 98/1070 — OCR...
[22:53:00]   Extracted 1 chart(s): chart_p0098_01.png
[22:53:00] Page 99/1070 — OCR...
[22:53:01]   Extracted 1 chart(s): chart_p0099_01.png
[22:53:01] Page 100/1070 — OCR...
[22:53:02]   Extracted 1 chart(s): chart_p0100_01.png
[22:53:02] Writing batch pages 81-100 to notes.md...
[22:53:02]   Saved. Charts so far: 80
[22:53:02] Page 101/1070 — OCR...
[22:53:04]   Extracted 1 chart(s): chart_p0101_01.png
[22:53:04] Page 102/1070 — OCR...
[22:53:05]   Extracted 1 chart(s): chart_p0102_01.png
[22:53:05] Page 103/1070 — OCR...
[22:53:06]   Extracted 1 chart(s): chart_p0103_01.png
[22:53:06] Page 104/1070 — OCR...
[22:53:07]   Extracted 1 chart(s): chart_p0104_01.png
[22:53:07] Page 105/1070 — OCR...
[22:53:08]   Extracted 1 chart(s): chart_p0105_01.png
[22:53:08] Page 106/1070 — OCR...
[22:53:10]   Extracted 1 chart(s): chart_p0106_01.png
[22:53:10] Page 107/1070 — OCR...
[22:53:11]   Extracted 1 chart(s): chart_p0107_01.png
[22:53:11] Page 108/1070 — OCR...
[22:53:12]   Extracted 1 chart(s): chart_p0108_01.png
[22:53:12] Page 109/1070 — OCR...
[22:53:13]   Extracted 1 chart(s): chart_p0109_01.png
[22:53:13] Page 110/1070 — OCR...
[22:53:15]   Extracted 1 chart(s): chart_p0110_01.png
[22:53:15] Page 111/1070 — OCR...
[22:53:16]   Extracted 1 chart(s): chart_p0111_01.png
[22:53:16] Page 112/1070 — OCR...
[22:53:17]   Extracted 1 chart(s): chart_p0112_01.png
[22:53:17] Page 113/1070 — OCR...
[22:53:18]   Extracted 1 chart(s): chart_p0113_01.png
[22:53:18] Page 114/1070 — OCR...
[22:53:19]   Extracted 1 chart(s): chart_p0114_01.png
[22:53:19] Page 115/1070 — OCR...
[22:53:21]   Extracted 1 chart(s): chart_p0115_01.png
[22:53:21] Page 116/1070 — OCR...
[22:53:22]   Extracted 1 chart(s): chart_p0116_01.png
[22:53:22] Page 117/1070 — OCR...
[22:53:23]   Extracted 1 chart(s): chart_p0117_01.png
[22:53:23] Page 118/1070 — OCR...
[22:53:25]   Extracted 1 chart(s): chart_p0118_01.png
[22:53:25] Page 119/1070 — OCR...
[22:53:26]   Extracted 1 chart(s): chart_p0119_01.png
[22:53:26] Page 120/1070 — OCR...
[22:53:26]   Extracted 1 chart(s): chart_p0120_01.png
[22:53:26] Writing batch pages 101-120 to notes.md...
[22:53:26]   Saved. Charts so far: 100
[22:53:26] Page 121/1070 — OCR...
[22:53:28]   Extracted 1 chart(s): chart_p0121_01.png
[22:53:28] Page 122/1070 — OCR...
[22:53:29]   Extracted 1 chart(s): chart_p0122_01.png
[22:53:29] Page 123/1070 — OCR...
[22:53:31]   Extracted 1 chart(s): chart_p0123_01.png
[22:53:31] Page 124/1070 — OCR...
[22:53:32]   Extracted 1 chart(s): chart_p0124_01.png
[22:53:32] Page 125/1070 — OCR...
[22:53:33]   Extracted 1 chart(s): chart_p0125_01.png
[22:53:33] Page 126/1070 — OCR...
[22:53:34]   Extracted 1 chart(s): chart_p0126_01.png
[22:53:34] Page 127/1070 — OCR...
[22:53:36]   Extracted 1 chart(s): chart_p0127_01.png
[22:53:36] Page 128/1070 — OCR...
[22:53:37]   Extracted 1 chart(s): chart_p0128_01.png
[22:53:37] Page 129/1070 — OCR...
[22:53:38]   Extracted 1 chart(s): chart_p0129_01.png
[22:53:38] Page 130/1070 — OCR...
[22:53:39]   Extracted 1 chart(s): chart_p0130_01.png
[22:53:39] Page 131/1070 — OCR...
[22:53:41]   Extracted 1 chart(s): chart_p0131_01.png
[22:53:41] Page 132/1070 — OCR...
[22:53:42]   Extracted 1 chart(s): chart_p0132_01.png
[22:53:42] Page 133/1070 — OCR...
[22:53:43]   Extracted 1 chart(s): chart_p0133_01.png
[22:53:43] Page 134/1070 — OCR...
[22:53:45]   Extracted 1 chart(s): chart_p0134_01.png
[22:53:45] Page 135/1070 — OCR...
[22:53:46]   Extracted 1 chart(s): chart_p0135_01.png
[22:53:46] Page 136/1070 — OCR...
[22:53:47]   Extracted 1 chart(s): chart_p0136_01.png
[22:53:47] Page 137/1070 — OCR...
[22:53:48]   Extracted 1 chart(s): chart_p0137_01.png
[22:53:48] Page 138/1070 — OCR...
[22:53:49]   Extracted 1 chart(s): chart_p0138_01.png
[22:53:49] Page 139/1070 — OCR...
[22:53:50]   Extracted 1 chart(s): chart_p0139_01.png
[22:53:50] Page 140/1070 — OCR...
[22:53:51]   Extracted 1 chart(s): chart_p0140_01.png
[22:53:51] Writing batch pages 121-140 to notes.md...
[22:53:51]   Saved. Charts so far: 120
[22:53:51] Page 141/1070 — OCR...
[22:53:53]   Extracted 1 chart(s): chart_p0141_01.png
[22:53:53] Page 142/1070 — OCR...
[22:53:54]   Extracted 1 chart(s): chart_p0142_01.png
[22:53:54] Page 143/1070 — OCR...
[22:53:54]   Extracted 1 chart(s): chart_p0143_01.png
[22:53:54] Page 144/1070 — OCR...
[22:53:56]   Extracted 1 chart(s): chart_p0144_01.png
[22:53:56] Page 145/1070 — OCR...
[22:53:56]   Extracted 1 chart(s): chart_p0145_01.png
[22:53:56] Page 146/1070 — OCR...
[22:53:57]   Extracted 1 chart(s): chart_p0146_01.png
[22:53:57] Page 147/1070 — OCR...
[22:53:59]   Extracted 1 chart(s): chart_p0147_01.png
[22:53:59] Page 148/1070 — OCR...
[22:54:00]   Extracted 1 chart(s): chart_p0148_01.png
[22:54:00] Page 149/1070 — OCR...
[22:54:01]   Extracted 1 chart(s): chart_p0149_01.png
[22:54:01] Page 150/1070 — OCR...
[22:54:02]   Extracted 1 chart(s): chart_p0150_01.png
[22:54:02] Page 151/1070 — OCR...
[22:54:03]   Extracted 1 chart(s): chart_p0151_01.png
[22:54:03] Page 152/1070 — OCR...
[22:54:05]   Extracted 1 chart(s): chart_p0152_01.png
[22:54:05] Page 153/1070 — OCR...
[22:54:06]   Extracted 1 chart(s): chart_p0153_01.png
[22:54:06] Page 154/1070 — OCR...
[22:54:07]   Extracted 1 chart(s): chart_p0154_01.png
[22:54:07] Page 155/1070 — OCR...
[22:54:08]   Extracted 1 chart(s): chart_p0155_01.png
[22:54:08] Page 156/1070 — OCR...
[22:54:09]   Extracted 1 chart(s): chart_p0156_01.png
[22:54:09] Page 157/1070 — OCR...
[22:54:10]   Extracted 1 chart(s): chart_p0157_01.png
[22:54:10] Page 158/1070 — OCR...
[22:54:12]   Extracted 1 chart(s): chart_p0158_01.png
[22:54:12] Page 159/1070 — OCR...
[22:54:12]   Extracted 1 chart(s): chart_p0159_01.png
[22:54:12] Page 160/1070 — OCR...
[22:54:13]   Extracted 1 chart(s): chart_p0160_01.png
[22:54:13] Writing batch pages 141-160 to notes.md...
[22:54:13]   Saved. Charts so far: 140
[22:54:13] Page 161/1070 — OCR...
[22:54:15]   Extracted 1 chart(s): chart_p0161_01.png
[22:54:15] Page 162/1070 — OCR...
[22:54:16]   Extracted 1 chart(s): chart_p0162_01.png
[22:54:16] Page 163/1070 — OCR...
[22:54:17]   Extracted 1 chart(s): chart_p0163_01.png
[22:54:17] Page 164/1070 — OCR...
[22:54:19]   Extracted 1 chart(s): chart_p0164_01.png
[22:54:19] Page 165/1070 — OCR...
[22:54:20]   Extracted 1 chart(s): chart_p0165_01.png
[22:54:20] Page 166/1070 — OCR...
[22:54:22]   Extracted 1 chart(s): chart_p0166_01.png
[22:54:22] Page 167/1070 — OCR...
[22:54:23]   Extracted 1 chart(s): chart_p0167_01.png
[22:54:23] Page 168/1070 — OCR...
[22:54:25]   Extracted 1 chart(s): chart_p0168_01.png
[22:54:25] Page 169/1070 — OCR...
[22:54:26]   Extracted 1 chart(s): chart_p0169_01.png
[22:54:26] Page 170/1070 — OCR...
[22:54:27]   Extracted 1 chart(s): chart_p0170_01.png
[22:54:27] Page 171/1070 — OCR...
[22:54:28]   Extracted 1 chart(s): chart_p0171_01.png
[22:54:28] Page 172/1070 — OCR...
[22:54:29]   Extracted 1 chart(s): chart_p0172_01.png
[22:54:29] Page 173/1070 — OCR...
[22:54:30]   Extracted 1 chart(s): chart_p0173_01.png
[22:54:30] Page 174/1070 — OCR...
[22:54:31]   Extracted 1 chart(s): chart_p0174_01.png
[22:54:31] Page 175/1070 — OCR...
[22:54:32]   Extracted 1 chart(s): chart_p0175_01.png
[22:54:32] Page 176/1070 — OCR...
[22:54:33]   Extracted 1 chart(s): chart_p0176_01.png
[22:54:33] Page 177/1070 — OCR...
[22:54:34]   Extracted 1 chart(s): chart_p0177_01.png
[22:54:34] Page 178/1070 — OCR...
[22:54:35]   Extracted 1 chart(s): chart_p0178_01.png
[22:54:35] Page 179/1070 — OCR...
[22:54:36]   Extracted 1 chart(s): chart_p0179_01.png
[22:54:36] Page 180/1070 — OCR...
[22:54:38]   Extracted 1 chart(s): chart_p0180_01.png
[22:54:38] Writing batch pages 161-180 to notes.md...
[22:54:38]   Saved. Charts so far: 160
[22:54:38] Page 181/1070 — OCR...
[22:54:39]   Extracted 1 chart(s): chart_p0181_01.png
[22:54:39] Page 182/1070 — OCR...
[22:54:40]   Extracted 1 chart(s): chart_p0182_01.png
[22:54:40] Page 183/1070 — OCR...
[22:54:41]   Extracted 1 chart(s): chart_p0183_01.png
[22:54:41] Page 184/1070 — OCR...
[22:54:42]   Extracted 1 chart(s): chart_p0184_01.png
[22:54:42] Page 185/1070 — OCR...
[22:54:43]   Extracted 1 chart(s): chart_p0185_01.png
[22:54:43] Page 186/1070 — OCR...
[22:54:45]   Extracted 1 chart(s): chart_p0186_01.png
[22:54:45] Page 187/1070 — OCR...
[22:54:46]   Extracted 1 chart(s): chart_p0187_01.png
[22:54:46] Page 188/1070 — OCR...
[22:54:47]   Extracted 1 chart(s): chart_p0188_01.png
[22:54:47] Page 189/1070 — OCR...
[22:54:48]   Extracted 1 chart(s): chart_p0189_01.png
[22:54:48] Page 190/1070 — OCR...
[22:54:50]   Extracted 1 chart(s): chart_p0190_01.png
[22:54:50] Page 191/1070 — OCR...
[22:54:51]   Extracted 1 chart(s): chart_p0191_01.png
[22:54:51] Page 192/1070 — OCR...
[22:54:52]   Extracted 1 chart(s): chart_p0192_01.png
[22:54:52] Page 193/1070 — OCR...
[22:54:54]   Extracted 1 chart(s): chart_p0193_01.png
[22:54:54] Page 194/1070 — OCR...
[22:54:55]   Extracted 1 chart(s): chart_p0194_01.png
[22:54:55] Page 195/1070 — OCR...
[22:54:56]   Extracted 1 chart(s): chart_p0195_01.png
[22:54:56] Page 196/1070 — OCR...
[22:54:57]   Extracted 1 chart(s): chart_p0196_01.png
